content,subcategory,category
"I was desperate for cash to pay my daughter's school fees. I saw an ad on Facebook for 'instant loans' with minimal paperwork. They promised 10,000 rupees within hours. I applied and got a call saying my loan was approved, but I needed to pay a 400 rupees 'processing fee' upfront. I was hesitant, but they pressured me, saying it was the last step. I paid through UPI, and then they stopped answering my calls. The website is now gone too. I lost 400 rupees, and my daughter's fees are still pending.",online_loan_fraud,Financial Crimes
"My small business was struggling, and I needed a quick injection of funds. An SMS offered loans with 'no credit check'. I clicked the link and filled out the form.  A person called, very friendly, and said I was eligible for a 25,000 rupees loan.  He mentioned a 'verification fee' of 750 rupees to 'activate' my account.  Stupidly, I paid it via online transfer, thinking it was a small price to pay for a bigger loan.  After payment, they asked for another 1500 rupees for 'insurance'. That’s when I realized it was a scam.  I blocked their number, but it was too late. I lost 750 rupees, and my business is still in trouble.",online_loan_fraud,Financial Crimes
"I was looking for a personal loan online for a medical emergency in my family. I found a website that looked professional and claimed to offer quick approvals. I applied for 15,000 rupees. They called back quickly, saying I was approved but needed to pay a 'GST charge' of 5% of the loan amount, which was 750 rupees.  They said it was refundable after the loan was disbursed.  I paid, hoping to get the loan quickly. But after payment, they asked for more money for 'documentation charges'. I refused and asked for a refund of the GST charge. They stopped responding.  I lost 750 rupees and wasted precious time when my family member needed medical attention.",online_loan_fraud,Financial Crimes
"I received an email offering 'pre-approved loans' with low interest rates.  It seemed too good to be true, but I was in debt and desperate. I clicked the link and applied for 20,000 rupees. They called and said I qualified but needed to pay a 'service charge' of 600 rupees before they could process the loan further. They promised the loan would be in my account within hours after payment. I paid via online wallet. After that, they became unreachable. The email address also seems fake. I feel so foolish for falling for this.",online_loan_fraud,Financial Crimes
"I saw a banner ad on a news website promoting 'easy loans'.  I needed money for home repairs. I filled out a simple form and got a call almost immediately. They said I could get a 30,000 rupees loan.  They asked for a 'processing fee' of 900 rupees to be paid upfront. I was a bit suspicious, but they sounded very convincing and professional. I paid through a payment gateway they provided. After the payment, I tried calling them back, but the number was always busy.  I checked the website again, and it was gone.  I lost 900 rupees and now I’m even more stressed about the repairs.",online_loan_fraud,Financial Crimes
"I was browsing social media when I saw an ad for a loan app that promised 'instant approval'. I downloaded the app and applied for 5,000 rupees. The app said my loan was approved, but I needed to 'verify my bank account' by paying a small fee of 250 rupees.  It seemed like a standard verification process, so I paid through UPI within the app.  After the payment, the app just showed an error message and stopped working. I couldn't reach customer support. I realized it was a fake app.  I lost 250 rupees, but more importantly, I gave them my bank details.",online_loan_fraud,Financial Crimes
"I got a WhatsApp message from a number I didn't recognize, offering 'urgent loans' for emergencies. I was facing a financial crunch, so I inquired. They asked for my basic details and then said I was eligible for a 12,000 rupees loan. They requested a 'documentation fee' of 350 rupees to be paid before processing.  They sent a QR code for payment. I scanned and paid, thinking I was finally getting some relief.  After payment, they asked for another 500 rupees for 'agreement charges'.  That's when I knew it was a scam. I blocked the number and WhatsApp account.  I lost 350 rupees and my hope for quick financial help.",online_loan_fraud,Financial Crimes
"I was searching online for 'quick loans' when I stumbled upon a website that looked very official.  It had all the logos and looked like a legitimate financial institution. I applied for 18,000 rupees. They called and said my loan was approved, but I needed to pay a 'KYC verification fee' of 550 rupees to complete the process.  They said it was mandatory as per regulations. I paid through net banking. After the payment, they asked for another 800 rupees for 'loan agreement registration'. I started questioning them, and they became rude and disconnected the call.  The website disappeared soon after.  I lost 550 rupees and my trust in online services.",online_loan_fraud,Financial Crimes
"A friend told me about a 'new loan app' that was giving loans easily.  I was skeptical, but I was in dire need of money. I downloaded the app and applied for 7,000 rupees.  It showed 'approved' almost instantly. Then it asked for a 'processing charge' of 300 rupees to be paid to activate the loan. I paid through UPI.  After payment, the app showed 'processing' for hours and then just stopped working. My friend also told me he was scammed by the same app.  We both lost 300 rupees each, and we feel stupid for believing it.",online_loan_fraud,Financial Crimes
"I received a call from someone claiming to be from a 'loan company'. They said they were offering 'special loans' to salaried individuals.  I was interested as I needed money for some personal expenses.  They said I was eligible for a 22,000 rupees loan.  They asked for a 'file processing fee' of 650 rupees to be paid to initiate the loan process.  They sent a link to a payment page.  I paid, hoping for the best.  After payment, they asked for another 1200 rupees for 'credit score improvement'. I refused to pay more, and they became abusive and hung up.  I lost 650 rupees and learned a hard lesson about trusting unknown callers.",online_loan_fraud,Financial Crimes
